                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6688,                 5.9351,                 4.2175,                      0,                      0,                      0,                      0,                 2.5545,                 5.2931,                 4.1409,             0.00065152,             0.00065152,             0.00065152
                      2,                 2.6322,                 5.1264,                 4.0337,                0.00164,                0.03614,                0.00092,                0.00019,                 2.5665,                 4.2044,                 4.2773,              0.0012921,              0.0012921,              0.0012921
                      3,                 2.6329,                 4.6076,                 3.8736,                0.00793,                 0.3012,                0.01034,                0.00211,                 2.6737,                 4.1909,                 4.2613,              0.0019062,              0.0019062,              0.0019062
                      4,                 2.6429,                  4.427,                 3.7952,                 0.0139,                0.18675,                0.01668,                0.00428,                 2.6081,                 4.0887,                 4.3412,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.6792,                 4.1306,                 3.7525,                 0.0095,                0.21687,                0.01073,                0.00245,                 2.6594,                 7.3608,                 3.8783,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.7747,                 4.0583,                 3.6879,                0.01559,                0.33735,                0.02586,                0.00493,                 2.5944,                 3.7938,                  3.655,               0.001802,               0.001802,               0.001802
                      7,                 2.6396,                 3.7525,                 3.6153,                0.00928,                 0.1988,                0.01124,                0.00201,                 2.6391,                 3.5927,                 3.8383,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.7129,                 3.6161,                 3.5912,                 0.0101,                0.25904,                0.01106,                0.00213,                 2.6522,                 3.5438,                 3.6833,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.7098,                 3.5908,                 3.6018,                0.01372,                0.31928,                 0.0371,                 0.0068,                 2.6678,                 3.1517,                 3.5373,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.7094,                 3.6001,                 3.6002,                0.01085,                0.36747,                0.02184,                0.00371,                 2.6217,                 3.8153,                 3.7739,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.7446,                  3.476,                 3.5963,                0.01206,                0.42169,                0.02345,                0.00447,                 2.6216,                 4.1561,                 3.6791,               0.001604,               0.001604,               0.001604
                     12,                 2.7265,                 3.4329,                 3.5972,                0.01404,                0.27108,                0.01505,                0.00281,                 2.6438,                 3.4975,                 3.7305,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.7219,                 3.3582,                 3.5672,                 0.0265,                 0.3494,                0.04342,                0.00784,                 2.6221,                 2.9954,                 3.4714,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.7342,                 3.3144,                 3.6117,                0.00576,                0.40964,                0.00944,                0.00181,                 2.6336,                 5.4279,                 3.8127,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.7298,                 3.2923,                 3.6072,                0.01429,                 0.3253,                0.01762,                0.00342,                 2.6751,                 3.3021,                 3.6633,              0.0014456,              0.0014456,              0.0014456
