                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                 2.7214,                 3.2904,                 3.6006,                0.01739,                0.38554,                0.03028,                0.00498,                 2.6508,                 3.3507,                 3.6972,               0.001406,               0.001406,               0.001406
                     17,                 2.7937,                 3.3693,                 3.6182,                0.02623,                0.28916,                0.03246,                0.00557,                 2.6693,                 3.1171,                  3.618,              0.0013664,              0.0013664,              0.0013664
                     18,                 2.6911,                 3.2268,                  3.587,                 0.0098,                0.40361,                0.01734,                0.00312,                 2.6377,                 3.4265,                 3.7198,              0.0013268,              0.0013268,              0.0013268
                     19,                 2.7613,                 3.2132,                 3.6007,                0.01234,                0.40361,                0.02489,                 0.0047,                 2.6508,                 3.2527,                 3.7433,              0.0012872,              0.0012872,              0.0012872
                     20,                 2.7085,                 3.1295,                 3.6192,                0.00419,                0.16867,                0.01949,                0.00449,                 2.7267,                 4.3093,                 4.0292,              0.0012476,              0.0012476,              0.0012476
                     21,                 2.7586,                 3.1282,                 3.6365,                 0.0139,                0.45181,                0.03752,                0.00741,                  2.608,                 3.1429,                 3.6776,               0.001208,               0.001208,               0.001208
                     22,                 2.7791,                 3.1908,                 3.6769,                0.01427,                0.37349,                 0.0207,                0.00385,                 2.7024,                 3.4214,                 3.9364,              0.0011684,              0.0011684,              0.0011684
                     23,                 2.6999,                 3.1269,                 3.6576,                0.02772,                0.33133,                0.03867,                0.00852,                 2.6629,                 2.9591,                 3.6983,              0.0011288,              0.0011288,              0.0011288
                     24,                 2.6851,                 3.2218,                 3.6204,                0.02851,                0.38554,                0.03787,                 0.0083,                 2.6358,                 3.1791,                 3.7425,              0.0010892,              0.0010892,              0.0010892
                     25,                 2.7142,                 3.0749,                 3.6569,                0.00814,                0.49398,                0.02687,                0.00456,                 2.6253,                 3.4651,                 3.7812,              0.0010496,              0.0010496,              0.0010496
                     26,                 2.7256,                 3.0692,                 3.6067,                0.02728,                0.37952,                0.04087,                0.00891,                 2.6971,                 2.9411,                 3.5464,                0.00101,                0.00101,                0.00101
                     27,                 2.7524,                 3.0957,                 3.6765,                0.01379,                0.48193,                0.02687,                0.00533,                 2.6574,                 3.1678,                 3.9456,              0.0009704,              0.0009704,              0.0009704
                     28,                 2.7497,                 3.0543,                 3.6974,                0.01477,                0.40361,                 0.0186,                0.00374,                  2.666,                 3.1295,                 3.9711,              0.0009308,              0.0009308,              0.0009308
                     29,                 2.7334,                 3.0877,                 3.6608,                0.01269,                0.46386,                 0.0282,                0.00588,                 2.6333,                 2.9756,                 3.8544,              0.0008912,              0.0008912,              0.0008912
                     30,                 2.6746,                 3.0406,                 3.6868,                0.00848,                 0.3253,                0.01394,                0.00243,                 2.7922,                 3.4234,                 4.1759,              0.0008516,              0.0008516,              0.0008516
                     31,                 2.6949,                 3.0619,                 3.6471,                0.00898,                0.38554,                0.01798,                0.00311,                  2.726,                 3.2635,                  4.064,               0.000812,               0.000812,               0.000812
                     32,                 2.7178,                 3.0766,                 3.6675,                0.01252,                0.54217,                0.06171,                0.01299,                 2.5892,                 3.1413,                 3.6894,              0.0007724,              0.0007724,              0.0007724
                     33,                 2.6584,                 3.0002,                 3.6406,                0.01129,                0.48795,                0.04011,                0.00693,                 2.6691,                 2.9067,                 3.8867,              0.0007328,              0.0007328,              0.0007328
                     34,                  2.669,                  3.015,                  3.709,                0.01343,                0.48193,                0.03638,                0.00666,                 2.6898,                 2.9281,                 3.8051,              0.0006932,              0.0006932,              0.0006932
                     35,                 2.6948,                 2.9884,                 3.6806,                0.01746,                0.45181,                0.04641,                0.00849,                 2.6471,                 2.9465,                 3.8931,              0.0006536,              0.0006536,              0.0006536
                     36,                 2.6513,                 2.9657,                 3.6769,                0.01631,                 0.5241,                0.05431,                0.01126,                 2.6124,                 2.8734,                 3.7874,               0.000614,               0.000614,               0.000614
                     37,                 2.6757,                 2.9721,                 3.6523,                0.01377,                0.45783,                0.04268,                0.00773,                 2.6752,                 2.9733,                 3.8973,              0.0005744,              0.0005744,              0.0005744
                     38,                 2.7014,                 2.9457,                 3.6674,                0.04978,                0.37952,                0.05412,                0.00946,                 2.6275,                 2.9672,                 3.7701,              0.0005348,              0.0005348,              0.0005348
                     39,                 2.6082,                 2.9771,                 3.6589,                0.00823,                0.43976,                0.02329,                0.00341,                 2.7705,                 3.1999,                 4.1768,              0.0004952,              0.0004952,              0.0004952
                     40,                 2.6122,                 2.9137,                 3.6608,                0.01666,                0.59639,                0.06905,                0.01308,                 2.6238,                 2.8841,                 3.7715,              0.0004556,              0.0004556,              0.0004556
                     41,                 2.7276,                 2.9003,                 3.7608,                0.09896,                0.34602,                0.07432,                 0.0181,                 2.6579,                 2.8035,                 3.7564,               0.000416,               0.000416,               0.000416
                     42,                   2.69,                 2.9552,                 3.7814,                0.01719,                0.54217,                0.06868,                0.01383,                 2.6742,                 2.7974,                 3.8549,              0.0003764,              0.0003764,              0.0003764
                     43,                 2.6469,                 2.9315,                 3.7477,                0.01237,                0.49398,                0.03731,                0.00794,                 2.6535,                 2.9229,                 3.9709,              0.0003368,              0.0003368,              0.0003368
                     44,                 2.6544,                 2.8714,                 3.7484,                0.01531,                    0.5,                0.04546,                0.00891,                 2.7018,                 2.9743,                 4.0105,              0.0002972,              0.0002972,              0.0002972
                     45,                 2.6423,                 2.8271,                 3.7264,                0.01874,                0.60843,                0.07467,                0.01435,                 2.6755,                 2.7898,                 3.8581,              0.0002576,              0.0002576,              0.0002576
                     46,                 2.6682,                 2.8513,                 3.7409,                0.00867,                0.51205,                0.03985,                0.00793,                  2.687,                 3.0434,                 4.0719,               0.000218,               0.000218,               0.000218
                     47,                 2.5957,                 2.8498,                  3.734,                0.01635,                0.59036,                0.07113,                0.01488,                 2.6469,                 2.8228,                  3.878,              0.0001784,              0.0001784,              0.0001784
                     48,                  2.652,                 2.8423,                  3.706,                0.01552,                0.55422,                0.05584,                0.01166,                 2.6503,                 2.8497,                 3.9022,              0.0001388,              0.0001388,              0.0001388
                     49,                 2.6084,                 2.8222,                 3.7149,                0.01588,                0.58434,                0.06974,                0.01396,                 2.6361,                 2.8221,                 3.9274,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 2.6412,                 2.7731,                 3.7037,                0.01554,                0.56024,                0.05994,                0.01237,                 2.6391,                 2.8351,                 3.9462,               5.96e-05,               5.96e-05,               5.96e-05
