                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.19066,                0.94393,                      1,                0.37982,             0.00059737,             0.00059737,             0.00059737
                     68,                0.16387,                0.94953,                      1,                0.37262,              0.0005956,              0.0005956,              0.0005956
                     69,                0.17559,                0.91028,                      1,                0.39795,             0.00059383,             0.00059383,             0.00059383
                     70,                 0.1727,                0.90654,                      1,                0.39972,             0.00059207,             0.00059207,             0.00059207
                     71,                0.18041,                0.89813,                      1,                0.41351,              0.0005903,              0.0005903,              0.0005903
                     72,                0.17123,                0.93738,                      1,                0.37872,             0.00058853,             0.00058853,             0.00058853
                     73,                0.15551,                0.91963,                      1,                0.39819,             0.00058677,             0.00058677,             0.00058677
                     74,                0.18682,                0.81869,                      1,                0.48761,               0.000585,               0.000585,               0.000585
                     75,                0.16535,                0.93832,                      1,                0.39838,             0.00058323,             0.00058323,             0.00058323
                     76,                0.15936,                0.94112,                      1,                0.37866,             0.00058146,             0.00058146,             0.00058146
                     77,                0.16268,                0.91308,                      1,                0.41937,              0.0005797,              0.0005797,              0.0005797
                     78,                0.14971,                0.93084,                      1,                 0.3819,             0.00057793,             0.00057793,             0.00057793
                     79,                0.15409,                 0.9271,                      1,                0.38916,             0.00057616,             0.00057616,             0.00057616
                     80,                0.14744,                0.93925,                      1,                0.37781,              0.0005744,              0.0005744,              0.0005744
                     81,                0.16704,                0.93458,                      1,                0.38141,             0.00057263,             0.00057263,             0.00057263
                     82,                0.14901,                0.95794,                      1,                0.39124,             0.00057086,             0.00057086,             0.00057086
                     83,                0.13908,                 0.9514,                      1,                0.38477,             0.00056909,             0.00056909,             0.00056909
                     84,                0.15034,                0.92804,                      1,                 0.3811,             0.00056733,             0.00056733,             0.00056733
                     85,                0.15212,                0.95514,                      1,                0.36322,             0.00056556,             0.00056556,             0.00056556
                     86,                0.15819,                0.95327,                      1,                0.36487,             0.00056379,             0.00056379,             0.00056379
                     87,                0.15752,                0.95327,                      1,                0.36072,             0.00056203,             0.00056203,             0.00056203
                     88,                0.18399,                0.86355,                      1,                0.44946,             0.00056026,             0.00056026,             0.00056026
                     89,                0.14723,                 0.9215,                      1,                0.40656,             0.00055849,             0.00055849,             0.00055849
                     90,                0.12791,                0.93084,                      1,                0.38403,             0.00055672,             0.00055672,             0.00055672
                     91,                0.13824,                 0.9486,                      1,                 0.3725,             0.00055496,             0.00055496,             0.00055496
                     92,                0.14196,                0.93925,                      1,                0.37555,             0.00055319,             0.00055319,             0.00055319
                     93,                0.14672,                0.74953,                      1,                0.53271,             0.00055142,             0.00055142,             0.00055142
                     94,                0.13386,                0.93551,                      1,                0.38239,             0.00054966,             0.00054966,             0.00054966
                     95,                0.14703,                 0.9514,                      1,                0.40063,             0.00054789,             0.00054789,             0.00054789
                     96,                0.15126,                0.93178,                      1,                0.37878,             0.00054612,             0.00054612,             0.00054612
                     97,                0.13862,                 0.8972,                      1,                0.42389,             0.00054435,             0.00054435,             0.00054435
                     98,                0.13961,                 0.9271,                      1,                0.39526,             0.00054259,             0.00054259,             0.00054259
                     99,                0.13299,                0.90561,                      1,                 0.3988,             0.00054082,             0.00054082,             0.00054082
                    100,                0.13435,                0.86729,                      1,                0.44257,             0.00053905,             0.00053905,             0.00053905
                    101,                0.13293,                0.96355,                      1,                0.36359,             0.00053728,             0.00053728,             0.00053728
                    102,                0.14229,                0.95981,                      1,                0.40503,             0.00053552,             0.00053552,             0.00053552
                    103,                0.12813,                0.95888,                      1,                0.36334,             0.00053375,             0.00053375,             0.00053375
                    104,                0.12608,                0.93925,                      1,                0.37823,             0.00053198,             0.00053198,             0.00053198
                    105,                0.13902,                0.94766,                      1,                0.42255,             0.00053022,             0.00053022,             0.00053022
                    106,                 0.1242,                0.95047,                      1,                0.36609,             0.00052845,             0.00052845,             0.00052845
