                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.15644,                0.90748,                      1,                0.42719,             0.00048074,             0.00048074,             0.00048074
                     68,                0.15332,                0.93084,                      1,                0.38855,              0.0004772,              0.0004772,              0.0004772
                     69,                0.15214,                0.95234,                      1,                0.37494,             0.00047367,             0.00047367,             0.00047367
                     70,                0.15511,                0.95607,                      1,                0.38495,             0.00047013,             0.00047013,             0.00047013
                     71,                0.15756,                0.91589,                      1,                0.39606,              0.0004666,              0.0004666,              0.0004666
                     72,                0.15446,                0.93551,                      1,                0.39258,             0.00046306,             0.00046306,             0.00046306
                     73,                0.14296,                0.91682,                      1,                0.39832,             0.00045953,             0.00045953,             0.00045953
                     74,                0.15485,                0.94486,                      1,                0.39734,               0.000456,               0.000456,               0.000456
                     75,                0.16794,                0.94112,                      1,                0.38086,             0.00045246,             0.00045246,             0.00045246
                     76,                0.16906,                0.95421,                      1,                0.36682,             0.00044893,             0.00044893,             0.00044893
                     77,                0.16067,                0.94953,                      1,                0.37592,             0.00044539,             0.00044539,             0.00044539
                     78,                0.13196,                0.91963,                      1,                 0.3949,             0.00044186,             0.00044186,             0.00044186
                     79,                0.14547,                0.95047,                      1,                0.37958,             0.00043832,             0.00043832,             0.00043832
                     80,                0.15342,                0.95701,                      1,                0.36578,             0.00043479,             0.00043479,             0.00043479
                     81,                0.13626,                0.95234,                      1,                0.36176,             0.00043126,             0.00043126,             0.00043126
                     82,                0.14509,                 0.8757,                      1,                  0.435,             0.00042772,             0.00042772,             0.00042772
                     83,                0.12767,                 0.9514,                      1,                   0.38,             0.00042419,             0.00042419,             0.00042419
                     84,                0.13484,                0.92991,                      1,                 0.3866,             0.00042065,             0.00042065,             0.00042065
                     85,                 0.1552,                 0.9514,                      1,                0.37451,             0.00041712,             0.00041712,             0.00041712
                     86,                0.15868,                0.86168,                      1,                0.44104,             0.00041358,             0.00041358,             0.00041358
                     87,                0.16728,                0.93364,                      1,                0.38483,             0.00041005,             0.00041005,             0.00041005
                     88,                0.14594,                 0.9486,                      1,                0.36835,             0.00040652,             0.00040652,             0.00040652
                     89,                0.13259,                0.93832,                      1,                0.38904,             0.00040298,             0.00040298,             0.00040298
                     90,                 0.1286,                0.95607,                      1,                0.36102,             0.00039945,             0.00039945,             0.00039945
                     91,                0.12253,                0.96636,                      1,                0.37561,             0.00039591,             0.00039591,             0.00039591
                     92,                0.14236,                0.91215,                      1,                0.39819,             0.00039238,             0.00039238,             0.00039238
                     93,                0.12631,                0.92056,                      1,                0.38971,             0.00038884,             0.00038884,             0.00038884
                     94,                0.12611,                0.91402,                      1,                0.39935,             0.00038531,             0.00038531,             0.00038531
                     95,                0.12462,                 0.9215,                      1,                0.39056,             0.00038178,             0.00038178,             0.00038178
                     96,                0.12853,                0.94486,                      1,                0.37634,             0.00037824,             0.00037824,             0.00037824
                     97,                0.13453,                0.93738,                      1,                0.37305,             0.00037471,             0.00037471,             0.00037471
                     98,                0.14266,                0.95701,                      1,                0.36401,             0.00037117,             0.00037117,             0.00037117
                     99,                0.12744,                0.90935,                      1,                0.40222,             0.00036764,             0.00036764,             0.00036764
                    100,                0.14058,                0.77664,                      1,                0.50739,              0.0003641,              0.0003641,              0.0003641
                    101,                0.12026,                0.92243,                      1,                0.38831,             0.00036057,             0.00036057,             0.00036057
                    102,                0.12639,                0.95327,                      1,                0.37213,             0.00035704,             0.00035704,             0.00035704
                    103,                0.13582,                 0.9514,                      1,                0.36615,              0.0003535,              0.0003535,              0.0003535
                    104,                0.11292,                0.95794,                      1,                0.37073,             0.00034997,             0.00034997,             0.00034997
                    105,                0.10234,                0.90093,                      1,                0.40881,             0.00034643,             0.00034643,             0.00034643
                    106,                0.12928,                0.89813,                      1,                0.40668,              0.0003429,              0.0003429,              0.0003429
                    107,                0.11517,                0.93271,                      1,                 0.3775,             0.00033936,             0.00033936,             0.00033936
                    108,                0.10374,                0.94393,                      1,                0.37073,             0.00033583,             0.00033583,             0.00033583
                    109,                0.15211,                0.94579,                      1,                0.37817,              0.0003323,              0.0003323,              0.0003323
                    110,                0.13175,                 0.9486,                      1,                0.36932,             0.00032876,             0.00032876,             0.00032876
                    111,                0.13501,                0.95981,                      1,                0.36096,             0.00032523,             0.00032523,             0.00032523
                    112,                 0.1199,                0.96449,                      1,                0.35516,             0.00032169,             0.00032169,             0.00032169
                    113,                0.11607,                0.96729,                      1,                0.36072,             0.00031816,             0.00031816,             0.00031816
                    114,                0.11907,                0.95981,                      1,                 0.3634,             0.00031462,             0.00031462,             0.00031462
                    115,                0.10712,                0.93832,                      1,                0.37347,             0.00031109,             0.00031109,             0.00031109
                    116,                0.09772,                0.95701,                      1,                0.35498,             0.00030756,             0.00030756,             0.00030756
                    117,                0.11902,                0.96262,                      1,                0.35986,             0.00030402,             0.00030402,             0.00030402
                    118,                 0.1051,                0.95981,                      1,                0.35773,             0.00030049,             0.00030049,             0.00030049
                    119,                0.10325,                0.94299,                      1,                0.37451,             0.00029695,             0.00029695,             0.00029695
                    120,                 0.1104,                0.95888,                      1,                0.36334,             0.00029342,             0.00029342,             0.00029342
                    121,                0.11542,                0.96355,                      1,                0.35834,             0.00028988,             0.00028988,             0.00028988
                    122,                0.11683,                0.95607,                      1,                0.36084,             0.00028635,             0.00028635,             0.00028635
                    123,                0.10048,                0.94393,                      1,                0.36871,             0.00028282,             0.00028282,             0.00028282
                    124,                0.09194,                0.96449,                      1,                0.35657,             0.00027928,             0.00027928,             0.00027928
                    125,                0.10363,                0.94953,                      1,                 0.3678,             0.00027575,             0.00027575,             0.00027575
                    126,                0.09765,                0.96542,                      1,                0.35248,             0.00027221,             0.00027221,             0.00027221
                    127,                0.11588,                0.95888,                      1,                0.36401,             0.00026868,             0.00026868,             0.00026868
                    128,                0.11328,                0.95888,                      1,                0.36194,             0.00026514,             0.00026514,             0.00026514
                    129,                0.09296,                0.96168,                      1,                 0.3526,             0.00026161,             0.00026161,             0.00026161
                    130,                0.09826,                0.95607,                      1,                 0.3653,             0.00025808,             0.00025808,             0.00025808
                    131,                0.08862,                0.96542,                      1,                0.35425,             0.00025454,             0.00025454,             0.00025454
                    132,                0.10521,                0.96729,                      1,                0.35626,             0.00025101,             0.00025101,             0.00025101
